ticker,name
7203.T,Toyota Motor
6758.T,Sony Group
9984.T,SoftBank Group
9432.T,NTT
6861.T,Keyence
6954.T,Fanuc
4063.T,Shin-Etsu Chemical
8035.T,Tokyo Electron
7974.T,Nintendo
9983.T,Fast Retailing
8591.T,ORIX
8316.T,Sumitomo Mitsui FG
8306.T,MUFG
4502.T,Takeda Pharmaceutical
6902.T,Denso
6981.T,Murata Manufacturing
6367.T,Daikin Industries
6501.T,Hitachi
7751.T,Canon
7201.T,Nissan Motor
4568.T,Daiichi Sankyo
8031.T,Mitsui & Co
8058.T,Mitsubishi Corp
8002.T,Marubeni
6098.T,Recruit Holdings
4543.T,Terumo
6762.T,TDK
6503.T,Mitsubishi Electric
6752.T,Panasonic Holdings
4578.T,Otsuka Holdings
5401.T,Nippon Steel
7267.T,Honda Motor
9613.T,NTT Data Group
4188.T,Mitsubishi Chemical Group
6594.T,Nidec
7733.T,Olympus
4385.T,Mercari
6473.T,JTEKT
9301.T,Mitsubishi Logistics
5108.T,Bridgestone
8411.T,Mizuho FG
7832.T,Bandai Namco Holdings
3382.T,7-Eleven
9020.T,JR East
4519.T,Chugai Pharmaceutical
6326.T,Kubota
7269.T,Suzuki Motor
6857.T,Advantest
6724.T,Seiko Epson
8801.T,Mitsui Fudosan
9022.T,JR Central
6479.T,Minebea Mitsumi
8830.T,Sumitomo Realty & Development
4755.T,Rakuten Group
6301.T,Komatsu
9104.T,Mitsui OSK Lines
6113.T,Amada
6976.T,Taiyo Yuden
4528.T,Ono Pharmaceutical
4911.T,Shiseido
3659.T,Nexon
4452.T,Kao
4901.T,Fujifilm Holdings
7270.T,Subaru
6178.T,Japan Post Holdings
9962.T,MIXI
3086.T,J.Front Retailing
6645.T,Omron
4307.T,Nomura Research Institute
3099.T,Isetan Mitsukoshi Holdings
6273.T,SMC
7011.T,Mitsubishi Heavy Industries
6965.T,Hamamatsu Photonics
7012.T,Kawasaki Heavy Industries
8697.T,Japan Exchange Group
4324.T,Dentsu Group
6758.T,Sony Group
6920.T,Laser Tech
7261.T,Mazda Motor
9766.T,Konami Holdings
3405.T,Kuraray
8795.T,T&D Holdings
9007.T,Odakyu Electric Railway
4186.T,Tokyo Ohka Kogyo
6923.T,Stanley Electric
4246.T,Daikyonishikawa
6586.T,Makino Milling Machine
9449.T,GMO Internet
4631.T,DIC
6879.T,IMAGICA GROUP
4021.T,Nissan Chemical
6965.T,Hamamatsu Photonics
7205.T,Hino Motors
8804.T,Tokyo Tatemono
7731.T,Nikon
4768.T,Otsuka Corp
6806.T,Hirose Electric
4042.T,Tosoh
7752.T,Ricoh
6841.T,Yokogawa Electric
1605.T,Nikkei 225 ETF
1321.T,Nikkei 225 ETF
1306.T,TOPIX ETF
1348.T,MAXIS Nikkei 225
2558.T,S&P 500 ETF
1557.T,SPDR S&P 500 ETF
